Distance1	sample1000509	sample1000512	sample1000516	sample1000517	sample1000519	sample1000521	sample1000529	sample1000530	sample1000541	sample1000543	sample20442	sample20444	sample20445	sample20446	sample222	sample230	sample2307	sample2319	sample2323	sample2334	sample2336	sample2338	sample2340	sample2349	sample2351	sample2361	sample2362	sample2373	sample2374	sample2385	sample2387	sample2398	sample2399	sample280	sample285	sample32010	sample32014	sample32023	sample32024	sample32034	sample32035	sample32045	sample32046	sample32058	sample32059	sample32060	sample32061	sample32062	sample32063	sample32071	sample32072	sample32084	sample32085	sample32095	sample32098	sample35206	sample35211	sample35217	sample35218	sample35225	sample35228	sample35230	sample35231	sample35239	sample35240	sample35241	sample35242	sample35243	sample35244	sample35263	sample35265	sample35275	sample35279	sample35287	sample35288	sample35296	sample35297
sample20442	0.0612113	0.0520678	0.0517241	0.0577411	0.0588734	0.0520099	0.0469663	0.0524597	0.0560769	0.0638071	0	0.0353201	0.0348964	0.0346975	0.041543	0.0403365	0.0530994	0.0553155	0.0507625	0.0478817	0.0445458	0.0589709	0.0552259	0.0397554	0.0512937	0.0564271	0.0531327	0.0449871	0.0455323	0.0634012	0.0390153	0.0594618	0.0614561	0.0453964	0.0498084	0.0332865	0.0466491	0.0458895	0.0516724	0.048569	0.0497578	0.0450489	0.0454743	0.0492958	0.0419799	0.0472479	0.0511265	0.0422886	0.0435442	0.052643	0.0395637	0.0472712	0.0515685	0.0415606	0.0473954	0.0479017	0.04699	0.0485041	0.0457046	0.0467609	0.0496113	0.0301091	0.0460894	0.0441609	0.044789	0.0421225	0.0475084	0.0485619	0.0480132	0.047783	0.0422106	0.0442291	0.0437972	0.0319615	0.0302562	0.0320585	0.0384615
sample20444	0.0535289	0.05031	0.0421789	0.0473988	0.046685	0.0419664	0.037664	0.0393528	0.052686	0.0553398	0.0353201	0	0.0301303	0.0272917	0.0343556	0.0335149	0.0406658	0.0461233	0.0393878	0.0371486	0.0360111	0.0544872	0.0534971	0.0307239	0.0377637	0.0499283	0.0576691	0.0339518	0.0376992	0.0545171	0.0278592	0.0542651	0.0540856	0.0398437	0.0433673	0.032185	0.0395652	0.0376685	0.0431272	0.038738	0.043727	0.0385965	0.0355573	0.0390981	0.0367154	0.0405605	0.0393346	0.0413241	0.0403428	0.0422729	0.0355041	0.0365806	0.0438871	0.0346169	0.0360947	0.0395613	0.0361894	0.0404178	0.03125	0.0386484	0.0411843	0.035109	0.0449255	0.0404738	0.037346	0.0496141	0.0434096	0.0460087	0.0461721	0.0379722	0.033871	0.0329988	0.0352199	0.0299414	0.0310663	0.0291734	0.0243902
sample20445	0.0619178	0.0569035	0.0466377	0.0528169	0.05076	0.0479489	0.0429465	0.046663	0.0585165	0.0636561	0.0348964	0.0301303	0	0.0285029	0.0409116	0.0355438	0.0510827	0.0549212	0.0497283	0.0454042	0.0447065	0.0582497	0.0598007	0.0384821	0.0507572	0.0589265	0.0593816	0.0417124	0.0390033	0.0631607	0.0310593	0.064953	0.0614754	0.0460879	0.0497283	0.032013	0.0443483	0.0510371	0.0555863	0.0508428	0.0464169	0.0422113	0.040783	0.0482721	0.0451903	0.0467422	0.0494595	0.04375	0.0401499	0.048015	0.0394089	0.0424107	0.053203	0.0374131	0.0390924	0.0436223	0.0486678	0.0442594	0.0437533	0.0489071	0.0443963	0.033427	0.0452539	0.0393701	0.0430802	0.0526894	0.0441176	0.0503482	0.0486586	0.0434783	0.0364725	0.0409262	0.0467967	0.0346588	0.03403	0.032567	0.032769
sample20446	0.0524194	0.0487748	0.0467701	0.0525617	0.0514677	0.0446	0.0414399	0.0396701	0.0509426	0.0541267	0.0346975	0.0272917	0.0285029	0	0.0403164	0.0308388	0.0478031	0.044779	0.0420135	0.0428062	0.0424913	0.0507943	0.0469455	0.033781	0.0389955	0.0504955	0.0486471	0.035658	0.0320661	0.0519604	0.0316032	0.0542545	0.0534831	0.0403475	0.0433192	0.0261873	0.0371465	0.0427067	0.0451229	0.0416505	0.0411506	0.0400844	0.0363139	0.0443679	0.0362704	0.0413424	0.0418587	0.0387876	0.0363343	0.0436125	0.0359477	0.0383255	0.0423434	0.0345631	0.0389535	0.037123	0.0381769	0.0411559	0.0359768	0.0415424	0.0344298	0.0332218	0.0410174	0.0430784	0.0394892	0.0453109	0.0397133	0.0449827	0.0425697	0.0398749	0.0366864	0.0361792	0.0356285	0.0319061	0.032225	0.0364807	0.0303266
sample222	0.0428719	0.0479819	0.0494094	0.0399349	0.0433814	0.0494639	0.0452716	0.0433014	0.0424765	0.043523	0.041543	0.0343556	0.0409116	0.0403164	0	0.0388111	0.0383381	0.0391921	0.0392325	0.0353859	0.0328358	0.0484543	0.0486276	0.0409141	0.0463991	0.0493047	0.0517719	0.0329995	0.0316456	0.0443202	0.0346535	0.0430393	0.0436373	0.0347007	0.0360772	0.0370124	0.0446184	0.0363159	0.0384714	0.0389434	0.0420444	0.0338414	0.0308094	0.0471767	0.0411452	0.0515489	0.0370798	0.0422393	0.0403437	0.0381954	0.0284342	0.0322622	0.0387567	0.0284164	0.0330261	0.0332743	0.035244	0.0531221	0.041817	0.0451128	0.0464117	0.0416467	0.0486585	0.0484359	0.0423729	0.0515521	0.0447838	0.0459718	0.048987	0.0327139	0.0307005	0.0325101	0.0405405	0.0365385	0.0374712	0.0351721	0.030859
sample230	0.0555974	0.0517792	0.0451375	0.049353	0.0498678	0.0512166	0.0431948	0.0444148	0.0554452	0.0577137	0.0403365	0.0335149	0.0355438	0.0308388	0.0388111	0	0.0474747	0.0544191	0.0498835	0.0460292	0.0432432	0.0519319	0.0519348	0.0361909	0.0490435	0.0517	0.0556512	0.0427432	0.039212	0.0559881	0.035299	0.0551316	0.059322	0.0459145	0.0458491	0.030558	0.04375	0.0473906	0.0538899	0.048381	0.0515936	0.0378873	0.0368098	0.0447006	0.0472486	0.0500241	0.0536188	0.0432047	0.0439054	0.0498858	0.0312145	0.040928	0.0530275	0.0394286	0.0391189	0.0424493	0.0424312	0.0489601	0.036919	0.0413043	0.0457278	0.0396341	0.0431901	0.0448902	0.0367113	0.0488842	0.0457376	0.0490345	0.0498472	0.0447419	0.0401331	0.0376024	0.0406	0.0339506	0.0322382	0.0324814	0.032617
sample2307	0.0392654	0.0413661	0.0430063	0.0401939	0.0410256	0.0443854	0.0499439	0.0485012	0.042273	0.0401448	0.0530994	0.0406658	0.0510827	0.0478031	0.0383381	0.0474747	0	0.026949	0.0272457	0.0327273	0.0362552	0.0436984	0.0438144	0.0361374	0.0423077	0.0443093	0.0442897	0.0377389	0.0418263	0.0415351	0.0396979	0.0406828	0.0403431	0.0417197	0.0412322	0.0467058	0.032967	0.0258148	0.02986	0.0263074	0.0290878	0.0400708	0.0403096	0.0184557	0.0341107	0.0376559	0.0292389	0.0353764	0.0312009	0.028626	0.0391966	0.0397234	0.0267496	0.0396748	0.0433812	0.0431505	0.0393385	0.0578512	0.0492548	0.0375271	0.0434783	0.0488703	0.0479	0.0462963	0.0485564	0.0455508	0.043138	0.044969	0.0423945	0.0420638	0.0397708	0.0374214	0.0395936	0.0437347	0.0474838	0.04411	0.0374875
sample2319	0.0353325	0.0416667	0.0492874	0.0409752	0.0391582	0.0480969	0.0528552	0.0474251	0.0382196	0.037013	0.0553155	0.0461233	0.0549212	0.044779	0.0391921	0.0544191	0.026949	0	0.0226761	0.0324639	0.0317982	0.0404093	0.0423155	0.0412128	0.044835	0.0451112	0.0469945	0.0368074	0.0381367	0.0396286	0.0453387	0.0375367	0.0371781	0.0407175	0.0406105	0.0502424	0.0367418	0.0230308	0.0206853	0.0229916	0.0218321	0.0409619	0.0398502	0.0365016	0.024428	0.0393682	0.0193631	0.0374753	0.031273	0.0263992	0.0371353	0.0364611	0.0193916	0.0352598	0.0396951	0.0389866	0.0363248	0.0573543	0.0490293	0.0385885	0.0386555	0.0528338	0.0485194	0.0552268	0.0480439	0.0528322	0.040309	0.0414041	0.0432708	0.0389716	0.0390782	0.0352349	0.0413923	0.0445564	0.0470268	0.0493354	0.0378378
sample2323	0.0398255	0.0418251	0.0422705	0.0382476	0.0390782	0.0403571	0.0475857	0.0466049	0.0414769	0.0401003	0.0507625	0.0393878	0.0497283	0.0420135	0.0392325	0.0498835	0.0272457	0.0226761	0	0.0323442	0.0313128	0.0436736	0.0433547	0.0368224	0.0414536	0.0460136	0.046729	0.0360425	0.0384287	0.0411249	0.037537	0.0410426	0.0382748	0.040825	0.0398379	0.0416294	0.0348883	0.0233818	0.0242507	0.0231561	0.0272	0.0368256	0.0355903	0.0331236	0.0235594	0.0393983	0.0229557	0.0285088	0.0281426	0.0235676	0.0356121	0.0371099	0.0264609	0.0340292	0.0355524	0.0379926	0.037305	0.0570501	0.0483316	0.039375	0.0368644	0.0429268	0.0485075	0.0492958	0.0431946	0.0449069	0.0391244	0.0400378	0.0416237	0.0400524	0.0381934	0.0340372	0.036426	0.0399052	0.0403194	0.0401346	0.0352574
sample2334	0.0498888	0.059133	0.0512769	0.0426796	0.0436798	0.0519956	0.0385685	0.0376569	0.0500973	0.0507488	0.0478817	0.0371486	0.0454042	0.0428062	0.0353859	0.0460292	0.0327273	0.0324639	0.0323442	0	0.010729	0.055877	0.0538273	0.0173865	0.0228817	0.0588865	0.062603	0.0294522	0.0317982	0.0511142	0.0349511	0.0499574	0.050904	0.0383775	0.0393001	0.0407669	0.0385542	0.0299689	0.0305847	0.0309646	0.033588	0.0290634	0.0293137	0.0402001	0.0347199	0.0516478	0.0300081	0.041991	0.040968	0.030176	0.0297784	0.027823	0.0289166	0.0289735	0.03	0.03148	0.0310184	0.051058	0.0412406	0.0498311	0.0558965	0.0474699	0.0600748	0.0649158	0.0385157	0.0635359	0.0531694	0.0501428	0.0523156	0.0337743	0.0334233	0.0234479	0.026098	0.0409709	0.0412022	0.0387557	0.0353931
sample2336	0.0487056	0.0547945	0.0498593	0.0428758	0.0423613	0.0508778	0.0391892	0.0373969	0.0503494	0.0494286	0.0445458	0.0360111	0.0447065	0.0424913	0.0328358	0.0432432	0.0362552	0.0317982	0.0313128	0.010729	0	0.0561837	0.0538462	0.0135038	0.023416	0.0571489	0.0647696	0.0302747	0.0329641	0.0504427	0.039657	0.0496319	0.048916	0.0364142	0.038001	0.0365587	0.0371025	0.0298772	0.0292375	0.0326414	0.0365854	0.0299008	0.0279561	0.0421887	0.032253	0.0472479	0.0275754	0.0410986	0.0364622	0.0305221	0.0291655	0.0277413	0.0298701	0.0312748	0.0304348	0.0333508	0.0304749	0.0427273	0.035407	0.0485075	0.0503893	0.0428776	0.0575573	0.065	0.0400477	0.060221	0.0506676	0.0489532	0.0516831	0.0349755	0.0351889	0.0261204	0.0249001	0.0356727	0.039166	0.0367868	0.0345752
sample2338	0.013318	0.0152996	0.0415309	0.0395177	0.0376197	0.0421196	0.0606881	0.0613908	0.0136913	0.0150925	0.0589709	0.0544872	0.0582497	0.0507943	0.0484543	0.0519319	0.0436984	0.0404093	0.0436736	0.055877	0.0561837	0	0.0157609	0.056949	0.0628049	0.0146809	0.0204137	0.0536344	0.0530146	0.0154976	0.0536712	0.0163259	0.0163132	0.0473576	0.0455631	0.0548865	0.0481466	0.0417837	0.0467354	0.0439024	0.0455383	0.0516881	0.0541915	0.0473663	0.0461365	0.0478697	0.044771	0.0462185	0.0421031	0.0423373	0.0506329	0.0550298	0.0463758	0.0517	0.0557504	0.0546903	0.0550314	0.0698198	0.0607441	0.0428696	0.0461538	0.0542843	0.035286	0.0454115	0.0557715	0.0383001	0.0325923	0.0325623	0.0294659	0.0544484	0.0507273	0.0559959	0.0580038	0.0514058	0.0538462	0.0577025	0.0498749
sample2340	0.0107697	0.0127362	0.0388844	0.0343933	0.0393688	0.0383282	0.0562596	0.0558099	0.0131034	0.0136292	0.0552259	0.0534971	0.0598007	0.0469455	0.0486276	0.0519348	0.0438144	0.0423155	0.0433547	0.0538273	0.0538462	0.0157609	0	0.0546358	0.0612204	0.0144533	0.0198477	0.0528993	0.0504216	0.0144582	0.0540275	0.0119201	0.013986	0.0441567	0.04662	0.0552524	0.0427009	0.0408128	0.0430287	0.0425568	0.0446396	0.0497294	0.0472789	0.0491573	0.0441767	0.043533	0.0430464	0.0468291	0.0430825	0.0413419	0.0499316	0.0543812	0.0445217	0.0515254	0.0545517	0.0545267	0.0514632	0.0729073	0.0551443	0.0445545	0.0485437	0.0542674	0.0354167	0.0370544	0.0545593	0.0328125	0.0302809	0.0308231	0.0321168	0.0497606	0.0476691	0.0514267	0.0529412	0.0468103	0.0494186	0.0564223	0.0515996
sample2349	0.0591639	0.0546766	0.04477	0.0506124	0.0516081	0.0447818	0.0395112	0.0390098	0.057183	0.0601324	0.0397554	0.0307239	0.0384821	0.033781	0.0409141	0.0361909	0.0361374	0.0412128	0.0368224	0.0173865	0.0135038	0.056949	0.0546358	0	0.0195224	0.0553202	0.0604265	0.0379888	0.0372067	0.0590858	0.0404673	0.0579407	0.0573437	0.0462555	0.0466102	0.0295146	0.0359698	0.0350683	0.0382662	0.0370235	0.0394175	0.0371781	0.0352113	0.0376176	0.0326246	0.041566	0.0370573	0.0370988	0.0386408	0.0368823	0.0359126	0.0353756	0.0395985	0.0353982	0.0391051	0.0397937	0.0365032	0.0372671	0.0318718	0.0458404	0.045045	0.0356976	0.0475207	0.0580709	0.0357413	0.056541	0.0491241	0.0482583	0.0526121	0.0417296	0.0381825	0.0323519	0.0233051	0.0350061	0.0385878	0.0369458	0.037931
sample2351	0.0610151	0.0612858	0.0530936	0.0601112	0.0577952	0.0548734	0.0470425	0.0475672	0.0588578	0.0650492	0.0512937	0.0377637	0.0507572	0.0389955	0.0463991	0.0490435	0.0423077	0.044835	0.0414536	0.0228817	0.023416	0.0628049	0.0612204	0.0195224	0	0.0613787	0.0689552	0.0423423	0.0471599	0.0630758	0.0432533	0.0629103	0.062942	0.0493329	0.052455	0.0347473	0.0420924	0.0407764	0.0448718	0.0422031	0.0443442	0.0441746	0.0447008	0.0419279	0.0382131	0.0536153	0.039902	0.0440742	0.0430385	0.043486	0.0441595	0.044926	0.0459166	0.0426218	0.0481443	0.0466192	0.0410011	0.0432383	0.0424287	0.050152	0.0519509	0.0467836	0.0592698	0.0643979	0.0411546	0.0633562	0.0607926	0.0597473	0.0627125	0.0467033	0.0401621	0.0379371	0.0332338	0.0411932	0.0401581	0.0425936	0.0447214
sample2361	0.0146825	0.0145362	0.0327945	0.0384303	0.0414583	0.0369231	0.0589964	0.0600931	0.0138258	0.0138395	0.0564271	0.0499283	0.0589265	0.0504955	0.0493047	0.0517	0.0443093	0.0451112	0.0460136	0.0588865	0.0571489	0.0146809	0.0144533	0.0553202	0.0613787	0	0.0177223	0.057155	0.05812	0.0173828	0.0577535	0.0138614	0.0151636	0.0484609	0.0508475	0.0516032	0.0468972	0.0453401	0.0483736	0.045511	0.0434313	0.0571308	0.0521757	0.0447248	0.0465919	0.0438549	0.0461413	0.0449358	0.0460009	0.042655	0.0529954	0.0608714	0.0455107	0.0552277	0.0627642	0.0616994	0.0565126	0.0641736	0.0546496	0.0416266	0.0429478	0.0492063	0.0304632	0.0338235	0.0541087	0.0342612	0.0326644	0.0328698	0.0320292	0.0566322	0.0544941	0.0586164	0.0604491	0.0496022	0.0476526	0.0567416	0.0567209
sample2362	0.0180345	0.0162764	0.0379965	0.0454303	0.0415084	0.0418803	0.0588235	0.0620133	0.0166139	0.0185282	0.0531327	0.0576691	0.0593816	0.0486471	0.0517719	0.0556512	0.0442897	0.0469945	0.046729	0.062603	0.0647696	0.0204137	0.0198477	0.0604265	0.0689552	0.0177223	0	0.0600443	0.0617519	0.022365	0.0537665	0.0215696	0.0217391	0.0535135	0.0523603	0.0537369	0.0484439	0.0449864	0.0535234	0.0513236	0.0448295	0.0603825	0.0556769	0.0448276	0.047049	0.0414791	0.0476832	0.0449766	0.0441779	0.0474769	0.0585959	0.0612637	0.0524324	0.0566038	0.0627717	0.062117	0.0566502	0.0649688	0.0621516	0.0485748	0.0462185	0.0495841	0.0288578	0.0370968	0.055145	0.0343023	0.0336617	0.0349093	0.0378128	0.0548747	0.0538117	0.061451	0.0600667	0.0496228	0.0481394	0.0563094	0.0538972
sample2373	0.0451581	0.0527835	0.0507217	0.0376946	0.0405648	0.0473703	0.04375	0.0398592	0.0495203	0.0465674	0.0449871	0.0339518	0.0417124	0.035658	0.0329995	0.0427432	0.0377389	0.0368074	0.0360425	0.0294522	0.0302747	0.0536344	0.0528993	0.0379888	0.0423423	0.057155	0.0600443	0	0.021621	0.0448232	0.0327898	0.0457254	0.0441327	0.0376438	0.0340992	0.0328889	0.0439015	0.0343859	0.0332842	0.034543	0.0403707	0.0260508	0.026128	0.0483991	0.0413236	0.0501713	0.0332752	0.046837	0.0435858	0.0357698	0.026027	0.0278259	0.0345508	0.028786	0.025705	0.0239433	0.0288727	0.0440075	0.0405844	0.0483668	0.0488606	0.0429875	0.0504863	0.05667	0.0434268	0.0643016	0.0499323	0.0492073	0.0501995	0.0309017	0.0310507	0.0264441	0.0327464	0.0392498	0.036836	0.03775	0.0306815
sample2374	0.0450892	0.0542366	0.0526733	0.038792	0.0388574	0.0489244	0.0371165	0.0352231	0.046683	0.046111	0.0455323	0.0376992	0.0390033	0.0320661	0.0316456	0.039212	0.0418263	0.0381367	0.0384287	0.0317982	0.0329641	0.0530146	0.0504216	0.0372067	0.0471599	0.05812	0.0617519	0.021621	0	0.0479714	0.0354137	0.0456919	0.0459079	0.0367868	0.037133	0.0297414	0.0417806	0.0359703	0.0351224	0.0362106	0.0439492	0.0284563	0.027113	0.0526606	0.0427096	0.0560613	0.0353146	0.0470986	0.0448456	0.0369796	0.0266106	0.0281025	0.0378392	0.0233763	0.0279449	0.0239098	0.029879	0.0422727	0.0333866	0.05047	0.0486406	0.0447269	0.0524899	0.0558882	0.041708	0.0575221	0.0479091	0.0514597	0.0519802	0.0312339	0.0336366	0.0286274	0.0310794	0.0401735	0.0386677	0.0376317	0.0306482
