Distance1	sample1000509	sample1000512	sample1000516	sample1000517	sample1000519	sample1000521	sample1000529	sample1000530	sample1000541	sample1000543	sample20442	sample20444	sample20445	sample20446	sample222	sample230	sample2307	sample2319	sample2323	sample2334	sample2336	sample2338	sample2340	sample2349	sample2351	sample2361	sample2362	sample2373	sample2374	sample2385	sample2387	sample2398	sample2399	sample280	sample285	sample32010	sample32014	sample32023	sample32024	sample32034	sample32035	sample32045	sample32046	sample32058	sample32059	sample32060	sample32061	sample32062	sample32063	sample32071	sample32072	sample32084	sample32085	sample32095	sample32098	sample35206	sample35211	sample35217	sample35218	sample35225	sample35228	sample35230	sample35231	sample35239	sample35240	sample35241	sample35242	sample35243	sample35244	sample35263	sample35265	sample35275	sample35279	sample35287	sample35288	sample35296	sample35297
sample2385	0.0083712	0.0139633	0.0400616	0.0316319	0.0342224	0.0372069	0.055298	0.0554926	0.0136809	0.0106434	0.0634012	0.0545171	0.0631607	0.0519604	0.0443202	0.0559881	0.0415351	0.0396286	0.0411249	0.0511142	0.0504427	0.0154976	0.0144582	0.0590858	0.0630758	0.0173828	0.022365	0.0448232	0.0479714	0	0.0532359	0.00979192	0.0113111	0.0420829	0.0409091	0.0574663	0.0468689	0.037766	0.0387867	0.0371934	0.0419847	0.0456298	0.0423294	0.0519037	0.0458488	0.0490798	0.038452	0.049235	0.0462247	0.0377698	0.0464157	0.0493082	0.0391671	0.0484491	0.047275	0.0490666	0.0449268	0.07713	0.0580873	0.0484653	0.0472917	0.0576653	0.0380387	0.0412322	0.0544992	0.0432292	0.0337904	0.0334686	0.0339252	0.0468548	0.0460269	0.0471068	0.0533518	0.0474187	0.0544762	0.0581452	0.0473985
sample2387	0.0522494	0.052737	0.0497001	0.049621	0.0505878	0.0481197	0.0448642	0.0418791	0.0518743	0.0553043	0.0390153	0.0278592	0.0310593	0.0316032	0.0346535	0.035299	0.0396979	0.0453387	0.037537	0.0349511	0.039657	0.0536712	0.0540275	0.0404673	0.0432533	0.0577535	0.0537665	0.0327898	0.0354137	0.0532359	0	0.0526127	0.053735	0.0423669	0.0436312	0.0378578	0.0470104	0.0384475	0.0429993	0.0421579	0.0408901	0.0341069	0.0349415	0.0494415	0.042594	0.0504053	0.0412155	0.0442652	0.0447667	0.0435484	0.030368	0.0339343	0.0416228	0.0344158	0.031261	0.0346676	0.0347395	0.047075	0.0416019	0.0463087	0.0483871	0.040399	0.0480116	0.0471331	0.0396354	0.0519481	0.0516836	0.0511364	0.0499807	0.037602	0.035142	0.0355909	0.0365624	0.037037	0.0338629	0.0287179	0.012478
sample2398	0.00806255	0.012176	0.0402844	0.031358	0.0346649	0.0383814	0.0561969	0.0532253	0.0110947	0.0111684	0.0594618	0.0542651	0.064953	0.0542545	0.0430393	0.0551316	0.0406828	0.0375367	0.0410426	0.0499574	0.0496319	0.0163259	0.0119201	0.0579407	0.0629103	0.0138614	0.0215696	0.0457254	0.0456919	0.00979192	0.0526127	0	0.0103678	0.0407742	0.0400759	0.060054	0.0480846	0.036602	0.0370931	0.0390138	0.0421611	0.0453716	0.0427182	0.0519409	0.0451367	0.050707	0.0378481	0.0492363	0.045854	0.0375299	0.0445935	0.0505574	0.0376712	0.0479578	0.0471649	0.0505486	0.0453956	0.0759553	0.058262	0.0438487	0.0500431	0.0543689	0.0375671	0.0408654	0.0537062	0.0409924	0.0341709	0.0321279	0.0349409	0.0468667	0.0449213	0.0472152	0.0520736	0.0491037	0.0530125	0.0594283	0.0459482
sample2399	0.00973558	0.0138726	0.0398703	0.0290557	0.0324133	0.0376326	0.0565217	0.0545247	0.0132431	0.0132498	0.0614561	0.0540856	0.0614754	0.0534831	0.0436373	0.059322	0.0403431	0.0371781	0.0382748	0.050904	0.048916	0.0163132	0.013986	0.0573437	0.062942	0.0151636	0.0217391	0.0441327	0.0459079	0.0113111	0.053735	0.0103678	0	0.0388791	0.0404065	0.0567391	0.0466615	0.0353036	0.0374564	0.0372142	0.0409709	0.0434336	0.0432131	0.0518172	0.0442049	0.0498093	0.0365731	0.0480281	0.044428	0.0372466	0.0458301	0.0492261	0.0389724	0.045983	0.0453269	0.0465618	0.0455931	0.0740056	0.0586229	0.0468814	0.0460693	0.0582778	0.0397601	0.0426945	0.0568105	0.0389126	0.0320366	0.0362634	0.0368892	0.0472215	0.0444134	0.0454659	0.052032	0.0487945	0.0534278	0.0581222	0.0469051
sample280	0.0394475	0.0485105	0.0500587	0.0420015	0.0445231	0.0515214	0.0420982	0.0435825	0.0448581	0.045545	0.0453964	0.0398437	0.0460879	0.0403475	0.0347007	0.0459145	0.0417197	0.0407175	0.040825	0.0383775	0.0364142	0.0473576	0.0441567	0.0462555	0.0493329	0.0484609	0.0535135	0.0376438	0.0367868	0.0420829	0.0423669	0.0407742	0.0388791	0	0.00940291	0.0446855	0.0481294	0.0376984	0.0401532	0.0416777	0.0419236	0.0363065	0.0369853	0.0497449	0.0449262	0.0541063	0.039555	0.046764	0.0447789	0.0423969	0.0348807	0.0385191	0.0399507	0.0353343	0.0368832	0.0359829	0.0396102	0.0531136	0.044113	0.0464548	0.046875	0.0380711	0.0468326	0.0444225	0.0423447	0.0448578	0.0411455	0.0402299	0.0428339	0.0379568	0.0329075	0.0364812	0.0401786	0.0327314	0.0428898	0.0426799	0.0392371
sample285	0.0387521	0.0477356	0.0510404	0.040355	0.0424788	0.0521014	0.0440492	0.0427972	0.0449985	0.0430293	0.0498084	0.0433673	0.0497283	0.0433192	0.0360772	0.0458491	0.0412322	0.0406105	0.0398379	0.0393001	0.038001	0.0455631	0.04662	0.0466102	0.052455	0.0508475	0.0523603	0.0340992	0.037133	0.0409091	0.0436312	0.0400759	0.0404065	0.00940291	0	0.048014	0.0530452	0.0386411	0.0388106	0.0403375	0.0421391	0.0353274	0.0348165	0.0520029	0.047701	0.056169	0.037561	0.0518135	0.0496664	0.0407436	0.0356874	0.0388067	0.0377794	0.0362283	0.0366544	0.0356707	0.0377405	0.0588785	0.0470968	0.0488907	0.0507216	0.0427708	0.0512937	0.0481629	0.0446309	0.0492802	0.0456037	0.0449898	0.046129	0.0377144	0.0333242	0.035867	0.0399025	0.0361605	0.0447217	0.0409298	0.0356282
sample32010	0.0589137	0.0493131	0.0425484	0.0500864	0.0500875	0.042103	0.0430206	0.0444057	0.0539372	0.0614342	0.0332865	0.032185	0.032013	0.0261873	0.0370124	0.030558	0.0467058	0.0502424	0.0416294	0.0407669	0.0365587	0.0548865	0.0552524	0.0295146	0.0347473	0.0516032	0.0537369	0.0328889	0.0297414	0.0574663	0.0378578	0.060054	0.0567391	0.0446855	0.048014	0	0.0392646	0.0446781	0.0451965	0.042511	0.0443853	0.0361628	0.0357937	0.0398936	0.0366738	0.0436627	0.0444251	0.0349265	0.0379022	0.042595	0.0324277	0.0349345	0.0484429	0.0313316	0.0367232	0.0316623	0.0313604	0.0348837	0.0271949	0.0409277	0.037173	0.0316049	0.0444659	0.0469484	0.0369027	0.0465608	0.0457488	0.0505423	0.050431	0.0442419	0.0378451	0.0357759	0.0351339	0.0343996	0.0316871	0.034123	0.0347439
sample32014	0.0480094	0.0442209	0.0439147	0.0492876	0.0473235	0.0450256	0.0465216	0.0470728	0.0459514	0.0515564	0.0466491	0.0395652	0.0443483	0.0371465	0.0446184	0.04375	0.032967	0.0367418	0.0348883	0.0385542	0.0371025	0.0481466	0.0427009	0.0359698	0.0420924	0.0468972	0.0484439	0.0439015	0.0417806	0.0468689	0.0470104	0.0480846	0.0466615	0.0481294	0.0530452	0.0392646	0	0.0299145	0.0342045	0.02846	0.0301638	0.0444313	0.0428799	0.034127	0.030034	0.0355269	0.0328089	0.0311441	0.0293999	0.0277562	0.0458753	0.0496273	0.0331926	0.0423795	0.0452941	0.0455438	0.0422284	0.0546448	0.0438871	0.0413241	0.0370933	0.0430703	0.0474784	0.0495627	0.0423762	0.0467391	0.0416013	0.0437859	0.0440835	0.0519506	0.0463	0.0421359	0.0425135	0.040518	0.0446999	0.0443951	0.0435929
sample32023	0.0346235	0.0414766	0.0436699	0.0359094	0.0369967	0.0430393	0.0414659	0.0384502	0.0385218	0.037115	0.0458895	0.0376685	0.0510371	0.0427067	0.0363159	0.0473906	0.0258148	0.0230308	0.0233818	0.0299689	0.0298772	0.0417837	0.0408128	0.0350683	0.0407764	0.0453401	0.0449864	0.0343859	0.0359703	0.037766	0.0384475	0.036602	0.0353036	0.0376984	0.0386411	0.0446781	0.0299145	0	0.0227738	0.0117052	0.0276226	0.0357143	0.0346735	0.0358688	0.0280063	0.0367965	0.0233524	0.0318898	0.0307521	0.0122898	0.032909	0.0327263	0.0252759	0.034042	0.0342865	0.035875	0.0345837	0.0519599	0.0438017	0.0369919	0.0399071	0.0438596	0.0465275	0.0502488	0.0408794	0.0491803	0.0413724	0.0427611	0.0430805	0.0414949	0.037413	0.0330988	0.0380922	0.0409615	0.0450117	0.0425963	0.0325077
sample32024	0.0350513	0.0456381	0.0476935	0.0383971	0.0397871	0.046988	0.046535	0.0438152	0.0410311	0.0383387	0.0516724	0.0431272	0.0555863	0.0451229	0.0384714	0.0538899	0.02986	0.0206853	0.0242507	0.0305847	0.0292375	0.0467354	0.0430287	0.0382662	0.0448718	0.0483736	0.0535234	0.0332842	0.0351224	0.0387867	0.0429993	0.0370931	0.0374564	0.0401532	0.0388106	0.0451965	0.0342045	0.0227738	0	0.0241832	0.0308271	0.0352412	0.0350921	0.0420228	0.0262921	0.043738	0.0207641	0.0386131	0.0303305	0.0241654	0.0350656	0.0331458	0.0225161	0.0360863	0.0361713	0.0370913	0.0349183	0.0499058	0.0476573	0.0469005	0.0378756	0.0512698	0.0506128	0.0545635	0.0445594	0.0490731	0.0446662	0.0462344	0.0467684	0.0392132	0.0389953	0.0329723	0.0407667	0.0430969	0.0492849	0.0451109	0.0360506
sample32034	0.0364693	0.0449919	0.0429313	0.0372534	0.0351499	0.041074	0.0446794	0.0408971	0.0419284	0.0391543	0.048569	0.038738	0.0508428	0.0416505	0.0389434	0.048381	0.0263074	0.0229916	0.0231561	0.0309646	0.0326414	0.0439024	0.0425568	0.0370235	0.0422031	0.045511	0.0513236	0.034543	0.0362106	0.0371934	0.0421579	0.0390138	0.0372142	0.0416777	0.0403375	0.042511	0.02846	0.0117052	0.0241832	0	0.028444	0.0366379	0.0349026	0.0353261	0.0277778	0.0428157	0.0249871	0.0339314	0.03342	0.011734	0.0341278	0.0358756	0.0240948	0.0359071	0.0357623	0.036228	0.0351678	0.0524412	0.0454095	0.0395654	0.0415612	0.0475852	0.0483797	0.0543478	0.043426	0.0545455	0.0428378	0.0441889	0.0430397	0.0388389	0.0392754	0.0304622	0.0382325	0.0445699	0.0463978	0.0448172	0.0357749
sample32035	0.0431114	0.0438034	0.042915	0.0440232	0.0412242	0.0428151	0.0462523	0.0458225	0.0426997	0.0434584	0.0497578	0.043727	0.0464169	0.0411506	0.0420444	0.0515936	0.0290878	0.0218321	0.0272	0.033588	0.0365854	0.0455383	0.0446396	0.0394175	0.0443442	0.0434313	0.0448295	0.0403707	0.0439492	0.0419847	0.0408901	0.0421611	0.0409709	0.0419236	0.0421391	0.0443853	0.0301638	0.0276226	0.0308271	0.028444	0	0.0425234	0.0423862	0.0337121	0.0225059	0.0367505	0.0216151	0.0316173	0.0327335	0.0290821	0.0403707	0.039864	0.0145803	0.0400436	0.0402953	0.0438569	0.0435801	0.0568699	0.0477798	0.0401092	0.0379991	0.0448625	0.0412466	0.0532544	0.045239	0.0481602	0.0431219	0.0449062	0.0431882	0.0457269	0.042598	0.0399696	0.0413209	0.0419186	0.0429782	0.0456186	0.039022
sample32045	0.044363	0.0555556	0.0464427	0.0388397	0.0396681	0.0471634	0.0387054	0.0370633	0.0485075	0.0472511	0.0450489	0.0385965	0.0422113	0.0400844	0.0338414	0.0378873	0.0400708	0.0409619	0.0368256	0.0290634	0.0299008	0.0516881	0.0497294	0.0371781	0.0441746	0.0571308	0.0603825	0.0260508	0.0284563	0.0456298	0.0341069	0.0453716	0.0434336	0.0363065	0.0353274	0.0361628	0.0444313	0.0357143	0.0352412	0.0366379	0.0425234	0	0.0280625	0.0499079	0.0449527	0.0524928	0.0377693	0.0455635	0.0462449	0.0349869	0.0283308	0.0306533	0.0379319	0.0264442	0.0262631	0.026472	0.0313296	0.045539	0.0438228	0.0463384	0.0493879	0.0418052	0.0576748	0.0554446	0.0413735	0.0572057	0.0503166	0.0504765	0.0528215	0.0312823	0.0310938	0.0250432	0.0306029	0.0416667	0.0410376	0.038695	0.0345395
sample32046	0.0415811	0.0502041	0.0506986	0.0385668	0.0407602	0.0505994	0.043471	0.0408455	0.0442765	0.0430218	0.0454743	0.0355573	0.040783	0.0363139	0.0308094	0.0368098	0.0403096	0.0398502	0.0355903	0.0293137	0.0279561	0.0541915	0.0472789	0.0352113	0.0447008	0.0521757	0.0556769	0.026128	0.027113	0.0423294	0.0349415	0.0427182	0.0432131	0.0369853	0.0348165	0.0357937	0.0428799	0.0346735	0.0350921	0.0349026	0.0423862	0.0280625	0	0.046131	0.0423458	0.0501241	0.0347837	0.043646	0.04375	0.0356488	0.0280532	0.0291079	0.0351365	0.0296458	0.0263694	0.0306122	0.0325307	0.0436581	0.0377328	0.0482255	0.0480017	0.0430495	0.0539917	0.0546092	0.0400407	0.0570801	0.0461746	0.0486153	0.0515688	0.0313878	0.0308296	0.0243237	0.0329397	0.0392498	0.0353009	0.0348196	0.0295411
sample32058	0.0501276	0.0448573	0.0410037	0.0505376	0.0483339	0.0481677	0.0528652	0.0555139	0.0483933	0.0499279	0.0492958	0.0390981	0.0482721	0.0443679	0.0471767	0.0447006	0.0184557	0.0365016	0.0331236	0.0402001	0.0421887	0.0473663	0.0491573	0.0376176	0.0419279	0.0447248	0.0448276	0.0483991	0.0526606	0.0519037	0.0494415	0.0519409	0.0518172	0.0497449	0.0520029	0.0398936	0.034127	0.0358688	0.0420228	0.0353261	0.0337121	0.0499079	0.046131	0	0.0332856	0.036019	0.0398795	0.0308077	0.0341088	0.0360377	0.0491532	0.0524208	0.0382986	0.0458072	0.0517241	0.0523426	0.0490775	0.0586876	0.0459053	0.0383158	0.0435059	0.0451128	0.0480726	0.0485437	0.0498282	0.0483696	0.0409378	0.0425873	0.0441389	0.0496813	0.0486404	0.0458348	0.046282	0.0415663	0.0436118	0.0418904	0.043175
sample32059	0.0444895	0.0430887	0.0437307	0.0449923	0.0444902	0.0396108	0.0483752	0.0448253	0.0449827	0.0441267	0.0419799	0.0367154	0.0451903	0.0362704	0.0411452	0.0472486	0.0341107	0.024428	0.0235594	0.0347199	0.032253	0.0461365	0.0441767	0.0326246	0.0382131	0.0465919	0.047049	0.0413236	0.0427096	0.0458488	0.042594	0.0451367	0.0442049	0.0449262	0.047701	0.0366738	0.030034	0.0280063	0.0262921	0.0277778	0.0225059	0.0449527	0.0423458	0.0332856	0	0.0313076	0.011367	0.0285379	0.0278804	0.0276576	0.0405963	0.0417702	0.0246403	0.0396399	0.043369	0.0465512	0.0416799	0.0529412	0.0437416	0.0415994	0.0379927	0.0401119	0.0437195	0.0556641	0.0444637	0.0485278	0.0436116	0.0414541	0.0465546	0.045542	0.0434638	0.0378086	0.0392259	0.0394136	0.0409424	0.0446009	0.039108
sample32060	0.047803	0.0427509	0.0474699	0.0570071	0.0524174	0.0480814	0.0488419	0.052019	0.0473343	0.0538535	0.0472479	0.0405605	0.0467422	0.0413424	0.0515489	0.0500241	0.0376559	0.0393682	0.0393983	0.0516478	0.0472479	0.0478697	0.043533	0.041566	0.0536153	0.0438549	0.0414791	0.0501713	0.0560613	0.0490798	0.0504053	0.050707	0.0498093	0.0541063	0.056169	0.0436627	0.0355269	0.0367965	0.043738	0.0428157	0.0367505	0.0524928	0.0501241	0.036019	0.0313076	0	0.0376549	0.0302448	0.0319099	0.037799	0.0528376	0.0547179	0.0412713	0.0495908	0.0544054	0.0554475	0.0458738	0.0481381	0.0481759	0.0359922	0.0352284	0.040832	0.0410786	0.0447036	0.0486767	0.0422613	0.0425035	0.045219	0.0456642	0.0544168	0.0522019	0.0488328	0.0421775	0.0414432	0.045144	0.0476905	0.0489424
sample32061	0.0351524	0.0422705	0.0447171	0.0375423	0.0352184	0.0425311	0.045621	0.044382	0.0399274	0.0356879	0.0511265	0.0393346	0.0494595	0.0418587	0.0370798	0.0536188	0.0292389	0.0193631	0.0229557	0.0300081	0.0275754	0.044771	0.0430464	0.0370573	0.039902	0.0461413	0.0476832	0.0332752	0.0353146	0.038452	0.0412155	0.0378481	0.0365731	0.039555	0.037561	0.0444251	0.0328089	0.0233524	0.0207641	0.0249871	0.0216151	0.0377693	0.0347837	0.0398795	0.011367	0.0376549	0	0.035324	0.0324108	0.0247487	0.0352095	0.0326838	0.0174432	0.0330236	0.0364882	0.0355022	0.0319441	0.0567151	0.0474347	0.0470277	0.04049	0.0506901	0.051693	0.0608696	0.0471099	0.0501584	0.0459486	0.0409932	0.0473872	0.0391882	0.0376033	0.0307953	0.0374389	0.0429389	0.0455933	0.044285	0.0348681
sample32062	0.0482786	0.0452017	0.042229	0.0485513	0.047495	0.0430041	0.0480396	0.0515213	0.0468685	0.0492157	0.0422886	0.0413241	0.04375	0.0387876	0.0422393	0.0432047	0.0353764	0.0374753	0.0285088	0.041991	0.0410986	0.0462185	0.0468291	0.0370988	0.0440742	0.0449358	0.0449766	0.046837	0.0470986	0.049235	0.0442652	0.0492363	0.0480281	0.046764	0.0518135	0.0349265	0.0311441	0.0318898	0.0386131	0.0339314	0.0316173	0.0455635	0.043646	0.0308077	0.0285379	0.0302448	0.035324	0	0.0256048	0.0323149	0.0428571	0.0448094	0.0339652	0.0431554	0.0452362	0.0478681	0.0483806	0.0552585	0.0457803	0.0363875	0.0356044	0.0414244	0.0447231	0.0402913	0.0463833	0.039185	0.03784	0.0412088	0.0378518	0.0533058	0.0465595	0.0453822	0.0448988	0.0357143	0.0391528	0.0394075	0.041991
sample32063	0.0429425	0.0419548	0.0452675	0.046944	0.0444947	0.0481355	0.0492958	0.051744	0.0433754	0.0455724	0.0435442	0.0403428	0.0401499	0.0363343	0.0403437	0.0439054	0.0312009	0.031273	0.0281426	0.040968	0.0364622	0.0421031	0.0430825	0.0386408	0.0430385	0.0460009	0.0441779	0.0435858	0.0448456	0.0462247	0.0447667	0.045854	0.044428	0.0447789	0.0496664	0.0379022	0.0293999	0.0307521	0.0303305	0.03342	0.0327335	0.0462449	0.04375	0.0341088	0.0278804	0.0319099	0.0324108	0.0256048	0	0.0279926	0.0428089	0.0452506	0.0322581	0.0414946	0.0437037	0.047396	0.0448816	0.0452489	0.0430873	0.0373103	0.0350877	0.0389151	0.0450471	0.0466019	0.0471661	0.0370172	0.034334	0.0415913	0.041774	0.0466718	0.0459302	0.0384047	0.0426512	0.0362055	0.0406225	0.0403877	0.0405146
sample32071	0.0356316	0.0426879	0.0421782	0.0370417	0.0374934	0.0437893	0.0436401	0.041954	0.0389147	0.0374871	0.052643	0.0422729	0.048015	0.0436125	0.0381954	0.0498858	0.028626	0.0263992	0.0235676	0.030176	0.0305221	0.0423373	0.0413419	0.0368823	0.043486	0.042655	0.0474769	0.0357698	0.0369796	0.0377698	0.0435484	0.0375299	0.0372466	0.0423969	0.0407436	0.042595	0.0277562	0.0122898	0.0241654	0.011734	0.0290821	0.0349869	0.0356488	0.0360377	0.0276576	0.037799	0.0247487	0.0323149	0.0279926	0	0.035648	0.0355681	0.0259546	0.037259	0.0376095	0.0393114	0.0374478	0.0507706	0.0423895	0.0393717	0.0411219	0.0500237	0.0522252	0.0513327	0.0436548	0.0519481	0.0393165	0.0425281	0.0428477	0.0409139	0.0402675	0.0324297	0.0401437	0.0434866	0.0452107	0.0463944	0.0374065
sample32072	0.0451638	0.051153	0.0499802	0.0395854	0.0397117	0.0505033	0.0405314	0.0384725	0.0489422	0.0463508	0.0395637	0.0355041	0.0394089	0.0359477	0.0284342	0.0312145	0.0391966	0.0371353	0.0356121	0.0297784	0.0291655	0.0506329	0.0499316	0.0359126	0.0441595	0.0529954	0.0585959	0.026027	0.0266106	0.0464157	0.030368	0.0445935	0.0458301	0.0348807	0.0356874	0.0324277	0.0458753	0.032909	0.0350656	0.0341278	0.0403707	0.0283308	0.0280532	0.0491532	0.0405963	0.0528376	0.0352095	0.0428571	0.0428089	0.035648	0	0.0253532	0.0344784	0.024819	0.0255271	0.025326	0.0256047	0.0498615	0.0352136	0.042522	0.046848	0.0418251	0.0546549	0.0526047	0.0379228	0.0580752	0.0517942	0.0504642	0.0534414	0.0307052	0.0288993	0.0285218	0.0324074	0.0345622	0.0352031	0.0320611	0.0292406
sample32084	0.0473775	0.0577324	0.055754	0.0439024	0.0431719	0.0528596	0.044172	0.0408048	0.0514048	0.0491105	0.0472712	0.0365806	0.0424107	0.0383255	0.0322622	0.040928	0.0397234	0.0364611	0.0371099	0.027823	0.0277413	0.0550298	0.0543812	0.0353756	0.044926	0.0608714	0.0612637	0.0278259	0.0281025	0.0493082	0.0339343	0.0505574	0.0492261	0.0385191	0.0388067	0.0349345	0.0496273	0.0327263	0.0331458	0.0358756	0.039864	0.0306533	0.0291079	0.0524208	0.0417702	0.0547179	0.0326838	0.0448094	0.0452506	0.0355681	0.0253532	0	0.03608	0.0230558	0.0245399	0.0269381	0.0296036	0.0447761	0.040083	0.0452083	0.0510949	0.0459063	0.0599268	0.0651951	0.038526	0.0675676	0.0536856	0.0537239	0.0561392	0.0311072	0.0302069	0.02966	0.0332717	0.0399386	0.0403631	0.0403553	0.0322406
sample32085	0.0360107	0.0438312	0.0469851	0.0379823	0.0371306	0.0457192	0.0467134	0.044958	0.041021	0.0378937	0.0515685	0.0438871	0.053203	0.0423434	0.0387567	0.0530275	0.0267496	0.0193916	0.0264609	0.0289166	0.0298701	0.0463758	0.0445217	0.0395985	0.0459166	0.0455107	0.0524324	0.0345508	0.0378392	0.0391671	0.0416228	0.0376712	0.0389724	0.0399507	0.0377794	0.0484429	0.0331926	0.0252759	0.0225161	0.0240948	0.0145803	0.0379319	0.0351365	0.0382986	0.0246403	0.0412713	0.0174432	0.0339652	0.0322581	0.0259546	0.0344784	0.03608	0	0.0350224	0.0369914	0.0381221	0.0361132	0.0596878	0.0482991	0.0437601	0.0435054	0.0503563	0.0489352	0.0553379	0.0479452	0.0504338	0.0433421	0.0431561	0.0453518	0.0403576	0.0403248	0.031348	0.0407171	0.0425898	0.0480107	0.0462917	0.0348869
sample32095	0.0471125	0.0526642	0.0517379	0.0446672	0.0429858	0.0507853	0.0394163	0.0380544	0.0467435	0.0487218	0.0415606	0.0346169	0.0374131	0.0345631	0.0284164	0.0394286	0.0396748	0.0352598	0.0340292	0.0289735	0.0312748	0.0517	0.0515254	0.0353982	0.0426218	0.0552277	0.0566038	0.028786	0.0233763	0.0484491	0.0344158	0.0479578	0.045983	0.0353343	0.0362283	0.0313316	0.0423795	0.034042	0.0360863	0.0359071	0.0400436	0.0264442	0.0296458	0.0458072	0.0396399	0.0495908	0.0330236	0.0431554	0.0414946	0.037259	0.024819	0.0230558	0.0350224	0	0.0234336	0.0256824	0.0275819	0.0406022	0.03568	0.0430928	0.0455718	0.042898	0.0553514	0.0534466	0.036266	0.0577778	0.0501002	0.0502535	0.0490909	0.03149	0.0298755	0.0278254	0.0336302	0.0352194	0.0390923	0.0338308	0.0298772
sample32098	0.0460939	0.055917	0.0546136	0.0400049	0.0388688	0.0507745	0.0398466	0.0367543	0.0499225	0.0499115	0.0473954	0.0360947	0.0390924	0.0389535	0.0330261	0.0391189	0.0433812	0.0396951	0.0355524	0.03	0.0304348	0.0557504	0.0545517	0.0391051	0.0481443	0.0627642	0.0627717	0.025705	0.0279449	0.047275	0.031261	0.0471649	0.0453269	0.0368832	0.0366544	0.0367232	0.0452941	0.0342865	0.0361713	0.0357623	0.0402953	0.0262631	0.0263694	0.0517241	0.043369	0.0544054	0.0364882	0.0452362	0.0437037	0.0376095	0.0255271	0.0245399	0.0369914	0.0234336	0	0.0229258	0.0313606	0.0507849	0.038961	0.0489955	0.0518345	0.0467268	0.0570195	0.0562685	0.0409475	0.0588235	0.0524476	0.0512821	0.0543831	0.0321877	0.0319297	0.0268097	0.0341749	0.039242	0.0413635	0.0364742	0.0295721
sample35206	0.0488413	0.0577722	0.0539196	0.0437743	0.0412186	0.049169	0.0432099	0.038985	0.0513989	0.0514743	0.0479017	0.0395613	0.0436223	0.037123	0.0332743	0.0424493	0.0431505	0.0389866	0.0379926	0.03148	0.0333508	0.0546903	0.0545267	0.0397937	0.0466192	0.0616994	0.062117	0.0239433	0.0239098	0.0490666	0.0346676	0.0505486	0.0465618	0.0359829	0.0356707	0.0316623	0.0455438	0.035875	0.0370913	0.036228	0.0438569	0.026472	0.0306122	0.0523426	0.0465512	0.0554475	0.0355022	0.0478681	0.047396	0.0393114	0.025326	0.0269381	0.0381221	0.0256824	0.0229258	0	0.0277987	0.0488263	0.0391178	0.0481728	0.050557	0.0487106	0.0537362	0.0585216	0.0448782	0.0563781	0.0522538	0.0531444	0.0515092	0.0321147	0.0303616	0.0288021	0.0313076	0.0388761	0.0433526	0.0381874	0.0311316
sample35211	0.0444667	0.0530829	0.0489525	0.0416049	0.0408716	0.04782	0.0357971	0.0314262	0.0491577	0.0461055	0.04699	0.0361894	0.0486678	0.0381769	0.035244	0.0424312	0.0393385	0.0363248	0.037305	0.0310184	0.0304749	0.0550314	0.0514632	0.0365032	0.0410011	0.0565126	0.0566502	0.0288727	0.029879	0.0449268	0.0347395	0.0453956	0.0455931	0.0396102	0.0377405	0.0313604	0.0422284	0.0345837	0.0349183	0.0351678	0.0435801	0.0313296	0.0325307	0.0490775	0.0416799	0.0458738	0.0319441	0.0483806	0.0448816	0.0374478	0.0256047	0.0296036	0.0361132	0.0275819	0.0313606	0.0277987	0	0.0367847	0.031625	0.0448929	0.0452969	0.0453216	0.0565462	0.0598802	0.0374412	0.0622271	0.0501181	0.0519266	0.0512608	0.032987	0.0355153	0.0295421	0.0315056	0.0412791	0.0390898	0.0399702	0.0327357
sample35217	0.0727356	0.066055	0.0557078	0.0610092	0.0619266	0.0520833	0.0441839	0.0503503	0.068654	0.0781108	0.0485041	0.0404178	0.0442594	0.0411559	0.0531221	0.0489601	0.0578512	0.0573543	0.0570501	0.051058	0.0427273	0.0698198	0.0729073	0.0372671	0.0432383	0.0641736	0.0649688	0.0440075	0.0422727	0.07713	0.047075	0.0759553	0.0740056	0.0531136	0.0588785	0.0348837	0.0546448	0.0519599	0.0499058	0.0524412	0.0568699	0.045539	0.0436581	0.0586876	0.0529412	0.0481381	0.0567151	0.0552585	0.0452489	0.0507706	0.0498615	0.0447761	0.0596878	0.0406022	0.0507849	0.0488263	0.0367847	0	0.0156913	0.0522388	0.0491585	0.0424322	0.0585344	0.053653	0.0454545	0.0547945	0.0567376	0.0644567	0.0668161	0.0519663	0.0482537	0.0436761	0.0477048	0.0435967	0.0403727	0.0464015	0.0466981
