DNASample	Genus	Species	Population	Basin	Basi2
4316	Eichhornia	crassipes	P2_RO_Jaci_Parana	Madeira	Madeira_P2_RO_Jaci_Para
4318	Eichhornia	crassipes	P2_RO_Jaci_Parana	Madeira	Madeira_P2_RO_Jaci_Para
4325	Eichhornia	crassipes	P3_RO_Rio_Marmore_Guajara_Mirim	Madeira	Madeira_P3_RO_Rio_Marmo
4326	Eichhornia	crassipes	P3_RO_Rio_Marmore_Guajara_Mirim	Madeira	Madeira_P3_RO_Rio_Marmo
4327	Eichhornia	crassipes	P3_RO_Rio_Marmore_Guajara_Mirim	Madeira	Madeira_P3_RO_Rio_Marmo
4328	Eichhornia	crassipes	P3_RO_Rio_Marmore_Guajara_Mirim	Madeira	Madeira_P3_RO_Rio_Marmo
4329	Eichhornia	crassipes	P3_RO_Rio_Marmore_Guajara_Mirim	Madeira	Madeira_P3_RO_Rio_Marmo
4330	Eichhornia	crassipes	P3_RO_Rio_Marmore_Guajara_Mirim	Madeira	Madeira_P3_RO_Rio_Marmo
4335	Eichhornia	crassipes	P4_RO_Beni	Madeira	Madeira_P4_RO_Beni
4337	Eichhornia	crassipes	P4_RO_Beni	Madeira	Madeira_P4_RO_Beni
4343	Eichhornia	crassipes	P4_RO_Marmore	Madeira	Madeira_P4_RO_Marmore
4346	Eichhornia	crassipes	P4_RO_Marmore	Madeira	Madeira_P4_RO_Marmore
4353	Eichhornia	crassipes	P5_RO_Acude_Mutum_Velha	Madeira	Madeira_P5_RO_AÔÔde_Mut
4357	Eichhornia	crassipes	P5_RO_Acude_Mutum_Velha	Madeira	Madeira_P5_RO_AÔÔde_Mut
4369	Eichhornia	crassipes	P6_RO_Jamari_Montenegro	Madeira	Madeira_P6_RO_Jamari_Mo
4370	Eichhornia	crassipes	P6_RO_Jamari_Montenegro	Madeira	Madeira_P6_RO_Jamari_Mo
4371	Eichhornia	crassipes	P6_RO_Jamari_Montenegro	Madeira	Madeira_P6_RO_Jamari_Mo
4372	Eichhornia	crassipes	P6_RO_Jamari_Montenegro	Madeira	Madeira_P6_RO_Jamari_Mo
4373	Eichhornia	crassipes	P6_RO_Jamari_Montenegro	Madeira	Madeira_P6_RO_Jamari_Mo
4374	Eichhornia	crassipes	P6_RO_Jamari_Montenegro	Madeira	Madeira_P6_RO_Jamari_Mo
4375	Eichhornia	crassipes	P7_AM_Humaita_(Lagoa_comprida)	Madeira	Madeira_P7_AM_Humaita_(
4378	Eichhornia	crassipes	P7_AM_Humaita_(Lagoa_comprida)	Madeira	Madeira_P7_AM_Humaita_(
4384	Eichhornia	crassipes	P1TO___ECRA1___Ponte_Rio_Tocantins_(Lado_esquerdo)	Tocantins	Tocantins_P1TO___ECRA1___
4389	Eichhornia	crassipes	P1TO___ECRA1___Ponte_Rio_Tocantins_(Lado_esquerdo)	Tocantins	Tocantins_P1TO___ECRA1___
5111	Eichhornia	crassipes	P3TO___Araguaia_1___Caseara_TO	Araguaia	Araguaia_P3TO___Araguaia
5115	Eichhornia	crassipes	P3TO___Araguaia_1___Caseara_TO	Araguaia	Araguaia_P3TO___Araguaia
5119	Eichhornia	crassipes	P4TO___Rio_Taquari_Caseara_TO	Araguaia	Araguaia_P4TO___Rio_Taqu
5122	Eichhornia	crassipes	P4TO___Rio_Taquari_Caseara_TO	Araguaia	Araguaia_P4TO___Rio_Taqu
5125	Eichhornia	crassipes	P5TO___Rio_Javae_Caseara_TO	Araguaia	Araguaia_P5TO___Rio_Java
5126	Eichhornia	crassipes	P5TO___Rio_Javae_Caseara_TO	Araguaia	Araguaia_P5TO___Rio_Java
5128	Eichhornia	crassipes	P6TO___Rio_Mercedez_Caseara_TO	Araguaia	Araguaia_P6TO___Rio_Merc
5135	Eichhornia	crassipes	P7TO___Rio_Araguaia_Bananal_Caseara_TO	Araguaia	Araguaia_P7TO___Rio_Arag
