Distance1	sample1000503	sample1000507	sample1000515	sample1000522	sample1000524	sample1000525	sample1000526	sample1000527	sample1000535	sample1000539	sample1000546	sample1000549	sample215	sample216	sample225	sample226	sample228	sample229	sample2304	sample2314	sample2317	sample2325	sample2326	sample2346	sample2347	sample2359	sample2360	sample2368	sample2369	sample2379	sample2380	sample2391	sample2392	sample277	sample279	sample32005	sample32007	sample32017	sample32018	sample32031	sample32032	sample32041	sample32051	sample32053	sample32054	sample32056	sample32066	sample32067	sample32077	sample32078	sample32090	sample32091	sample35202	sample35204	sample35219	sample35221	sample35235	sample35236	sample35237	sample35245	sample35246	sample35248	sample35251	sample35254	sample35255	sample35257	sample35259	sample35273	sample35274	sample35284
sample2392	0.0468261	0.0458848	0.0441176	0.0664214	0.04465	0.0386855	0.0676179	0.0440272	0.0463215	0.0466749	0.0420256	0.0421477	0.0467732	0.0510397	0.0537214	0.0547046	0.0515546	0.054213	0.0429064	0.0488328	0.0512169	0.0464903	0.0619508	0.0455895	0.0485814	0.0453446	0.0490086	0.0457586	0.048222	0.0522876	0.047091	0.00475594	0	0.0471898	0.0460823	0.050196	0.0541138	0.0525233	0.0510103	0.0536913	0.051108	0.0508069	0.0498861	0.0480112	0.0470032	0.056029	0.0529979	0.0488224	0.0529288	0.0518606	0.0520085	0.05	0.0514851	0.0532886	0.0509642	0.0460765	0.0478339	0.0475835	0.0445512	0.056145	0.053681	0.0543672	0.0543438	0.0543086	0.0571684	0.0591063	0.0472566	0.0447471	0.0504801	0.0506476
sample277	0.0453297	0.0447346	0.0444757	0.068461	0.05	0.042589	0.0681818	0.0501197	0.0501645	0.0492611	0.0410874	0.0408186	0.0428382	0.0455819	0.0538691	0.054204	0.0539443	0.0501005	0.0508337	0.0434144	0.0465604	0.0479571	0.0586735	0.0470396	0.0435522	0.0452909	0.0489877	0.0415066	0.0449329	0.0475587	0.0468517	0.0453294	0.0471898	0	0.039596	0.0461458	0.0510179	0.046985	0.0509036	0.0458126	0.0459551	0.0460759	0.0574249	0.049042	0.0502721	0.0544371	0.0461554	0.043412	0.0447594	0.044683	0.0444376	0.0430908	0.0470166	0.0480484	0.0528376	0.0502901	0.0512733	0.0497015	0.0443192	0.058887	0.0528951	0.0535654	0.0531427	0.0529918	0.0575163	0.0504637	0.047178	0.0459632	0.0460393	0.0469375
sample279	0.0523881	0.0467039	0.0493173	0.0695575	0.0523004	0.046988	0.0790725	0.0508371	0.0544041	0.0550102	0.0449219	0.0427755	0.0437333	0.0482371	0.0550346	0.056359	0.0508939	0.0548693	0.0542845	0.0456081	0.0465787	0.051188	0.0630821	0.0487342	0.0448799	0.0465805	0.0535779	0.0461604	0.0446868	0.0548428	0.0511312	0.0428142	0.0460823	0.039596	0	0.0501172	0.0497211	0.0491062	0.0566009	0.0471487	0.0486251	0.0468396	0.0613333	0.0495431	0.0514874	0.0543205	0.0481134	0.0459173	0.0452271	0.0472283	0.0472211	0.0447061	0.0533981	0.0497771	0.0566099	0.055255	0.0526137	0.0487994	0.0465293	0.0635237	0.0518726	0.0544674	0.0553819	0.0558859	0.062167	0.0574491	0.0502646	0.048248	0.0455359	0.0527356
sample32005	0.0516203	0.0510204	0.0454419	0.0712894	0.0473705	0.0481397	0.0795869	0.0458099	0.0471341	0.0496439	0.0473186	0.0454916	0.0486542	0.0509149	0.0501645	0.0551709	0.0517085	0.0449832	0.0480525	0.0468096	0.0494621	0.0459089	0.0532751	0.0460232	0.0483828	0.0447437	0.0458732	0.0515915	0.0481333	0.0475376	0.0468044	0.0481276	0.050196	0.0461458	0.0501172	0	0.0490515	0.0506739	0.0518604	0.0498572	0.0482432	0.0497835	0.050878	0.0466687	0.0482428	0.0515113	0.0495484	0.0446015	0.0467552	0.0461929	0.0453254	0.047675	0.0553804	0.0505662	0.0502321	0.0525496	0.0485704	0.0490909	0.047619	0.0576577	0.0534468	0.0503101	0.0533004	0.0516832	0.0562914	0.0587248	0.047137	0.048494	0.0465461	0.0485824
sample32007	0.0519878	0.0505646	0.0531858	0.0757576	0.056781	0.052324	0.0835544	0.049435	0.0550655	0.057363	0.0496779	0.0490726	0.0504533	0.0514871	0.0541131	0.0571306	0.0522761	0.0532763	0.0532595	0.0477199	0.0510686	0.0505181	0.0643478	0.0541809	0.0516153	0.0534008	0.0505618	0.0487342	0.0514207	0.0406517	0.0462185	0.0518489	0.0541138	0.0510179	0.0497211	0.0490515	0	0.0297505	0.0425262	0.0517621	0.0505837	0.00763547	0.0587156	0.0538097	0.0556412	0.0551934	0.0515115	0.0518627	0.0495192	0.0507868	0.04935	0.0505492	0.0439202	0.0400777	0.0451445	0.0455975	0.0394338	0.051626	0.0488896	0.059851	0.0572316	0.0545676	0.0459889	0.0558036	0.0604894	0.0687067	0.0517458	0.0513897	0.0511719	0.0477371
sample32017	0.0507228	0.0474371	0.0507122	0.0772194	0.0608803	0.05139	0.0839793	0.0516535	0.0577089	0.0581897	0.0478193	0.0485516	0.0509361	0.0473625	0.0533197	0.0549692	0.0560485	0.053837	0.0511387	0.0464832	0.0492895	0.0467805	0.055026	0.0521728	0.0502711	0.0552995	0.0546787	0.0474949	0.0502426	0.0406388	0.0442943	0.0484334	0.0525233	0.046985	0.0491062	0.0506739	0.0297505	0	0.0389901	0.0466769	0.0467986	0.0265421	0.0562414	0.0499853	0.053138	0.0542068	0.0503275	0.0491857	0.0458795	0.0485058	0.0453561	0.0468301	0.0430189	0.0374372	0.0485751	0.0491124	0.0422656	0.0563646	0.0545341	0.0629244	0.0546106	0.0537786	0.0507965	0.0558489	0.0632287	0.064498	0.05134	0.0481862	0.0516182	0.0528585
sample32018	0.0518898	0.0515668	0.0518823	0.0786823	0.0563103	0.0538462	0.0776637	0.0503043	0.055404	0.0556813	0.0547043	0.0517724	0.0486549	0.0470784	0.0562977	0.0590005	0.0546233	0.051105	0.0502212	0.0516982	0.054409	0.0491611	0.0563258	0.0532058	0.0498489	0.0543368	0.0516537	0.0499695	0.0539016	0.0467072	0.0513347	0.0527061	0.0510103	0.0509036	0.0566009	0.0518604	0.0425262	0.0389901	0	0.0508111	0.0487767	0.039288	0.0571629	0.0510862	0.0530277	0.052667	0.0539277	0.0506367	0.0512546	0.0487805	0.0500305	0.0494221	0.04551	0.0442904	0.0459184	0.0387789	0.0455052	0.0533726	0.0512959	0.0497132	0.0488847	0.0503459	0.0448422	0.0469957	0.0518135	0.0617681	0.0460434	0.0461965	0.0520833	0.0497986
sample32031	0.0465674	0.0447102	0.0479858	0.0720572	0.0561122	0.0493631	0.0913706	0.0534445	0.0563168	0.056847	0.0468037	0.0444642	0.0473826	0.0447697	0.0551544	0.0557709	0.0551754	0.0536228	0.0463305	0.046595	0.0488007	0.047552	0.0543006	0.0517241	0.0462963	0.0528455	0.05369	0.044639	0.0478551	0.0499838	0.0487621	0.0487578	0.0536913	0.0458126	0.0471487	0.0498572	0.0517621	0.0466769	0.0508111	0	0.00504634	0.0459364	0.0559077	0.0504032	0.0502025	0.057548	0.0457831	0.0461258	0.0426878	0.0445911	0.0447294	0.0455208	0.055175	0.0464527	0.0534364	0.0513419	0.0524319	0.0545244	0.0537716	0.058653	0.0514412	0.0531004	0.0533333	0.0564484	0.0585106	0.0580408	0.0484496	0.045712	0.0466803	0.0553856
sample32032	0.047399	0.0465493	0.0484313	0.0722619	0.0543033	0.0484447	0.0848823	0.0515171	0.0516547	0.0534062	0.0471634	0.045134	0.0466078	0.0452882	0.0530263	0.0544619	0.0523908	0.0511905	0.0433893	0.0473934	0.0506949	0.0448922	0.0528765	0.0523379	0.0473284	0.0515873	0.0533383	0.0463392	0.0488853	0.0484183	0.047322	0.0486997	0.051108	0.0459551	0.0486251	0.0482432	0.0505837	0.0467986	0.0487767	0.00504634	0	0.047423	0.0527388	0.0517088	0.0512246	0.0563584	0.0461056	0.0455454	0.0476773	0.0480706	0.0476456	0.0475977	0.0510471	0.0495557	0.0517928	0.0484504	0.0482517	0.0529603	0.0525086	0.0552065	0.050156	0.0523072	0.0523027	0.0517381	0.0559062	0.0539188	0.0472973	0.0479471	0.0481508	0.0546299
sample32041	0.0503679	0.0474127	0.0498498	0.0731802	0.0539916	0.0481276	0.0811856	0.0469208	0.0560122	0.0548005	0.046003	0.0450627	0.0466214	0.0466014	0.0527333	0.0550377	0.0507873	0.0500316	0.0500215	0.0456969	0.0471385	0.0459749	0.0586713	0.0504905	0.0504234	0.0527988	0.0472502	0.0443038	0.0501547	0.0371532	0.04266	0.0476638	0.0508069	0.0460759	0.0468396	0.0497835	0.00763547	0.0265421	0.039288	0.0459364	0.047423	0	0.0537437	0.0502197	0.0513915	0.053159	0.0498104	0.0498482	0.0444835	0.0470297	0.0449214	0.04963	0.0417299	0.0394539	0.0415815	0.0398374	0.0397409	0.0510146	0.0497076	0.0538752	0.0578075	0.0496337	0.048498	0.051542	0.0528302	0.0668005	0.0446972	0.0469819	0.0489345	0.0457387
sample32051	0.0559299	0.0551862	0.0625561	0.0775428	0.0480212	0.0530201	0.0731857	0.0504032	0.0553547	0.0536254	0.062276	0.0588367	0.0510297	0.0592194	0.0573485	0.0508346	0.0566591	0.054513	0.00986526	0.0488281	0.0478105	0.0400572	0.0475567	0.0558107	0.0583958	0.0523831	0.0555556	0.0579295	0.0550314	0.0548309	0.0483203	0.0535394	0.0498861	0.0574249	0.0613333	0.050878	0.0587156	0.0562414	0.0571629	0.0559077	0.0527388	0.0537437	0	0.0481822	0.047619	0.0476689	0.0613036	0.0611749	0.0606601	0.061674	0.0620053	0.0507535	0.0559006	0.0531168	0.048988	0.0483479	0.053539	0.0568336	0.0550887	0.0486076	0.0525407	0.0521599	0.0615602	0.0497076	0.0535533	0.0581841	0.052136	0.0530131	0.0538596	0.0553783
sample32053	0.0479555	0.0488927	0.0506517	0.0727381	0.0507304	0.048157	0.0757946	0.0463259	0.0475829	0.0521485	0.0501437	0.0475146	0.0507654	0.0526619	0.0366158	0.0487959	0.0527709	0.0388906	0.0416846	0.0430275	0.0460983	0.0416033	0.0512383	0.0491933	0.0525788	0.0480183	0.0504171	0.0460508	0.0509554	0.0496972	0.0286665	0.0472914	0.0480112	0.049042	0.0495431	0.0466687	0.0538097	0.0499853	0.0510862	0.0504032	0.0517088	0.0502197	0.0481822	0	0.00631096	0.0380658	0.0531732	0.0538872	0.0488711	0.050327	0.0517634	0.0486929	0.0514019	0.0490762	0.0488836	0.0469903	0.0497889	0.0518266	0.0458537	0.051663	0.0476293	0.048107	0.0517302	0.0480807	0.0537539	0.0573818	0.0468127	0.0424337	0.0471781	0.0483241
