Distance1	sample1000503	sample1000507	sample1000515	sample1000522	sample1000524	sample1000525	sample1000526	sample1000527	sample1000535	sample1000539	sample1000546	sample1000549	sample215	sample216	sample225	sample226	sample228	sample229	sample2304	sample2314	sample2317	sample2325	sample2326	sample2346	sample2347	sample2359	sample2360	sample2368	sample2369	sample2379	sample2380	sample2391	sample2392	sample277	sample279	sample32005	sample32007	sample32017	sample32018	sample32031	sample32032	sample32041	sample32051	sample32053	sample32054	sample32056	sample32066	sample32067	sample32077	sample32078	sample32090	sample32091	sample35202	sample35204	sample35219	sample35221	sample35235	sample35236	sample35237	sample35245	sample35246	sample35248	sample35251	sample35254	sample35255	sample35257	sample35259	sample35273	sample35274	sample35284
sample32054	0.0504742	0.0509793	0.0498809	0.0709473	0.0526868	0.0514372	0.0757576	0.0486756	0.052785	0.0529974	0.047243	0.0477239	0.0535771	0.0545952	0.038631	0.0514161	0.0549142	0.039507	0.0434501	0.0454416	0.0461715	0.0399096	0.0542735	0.0485714	0.0505152	0.0495841	0.0522188	0.0481684	0.0495808	0.0491039	0.0273276	0.0485009	0.0470032	0.0502721	0.0514874	0.0482428	0.0556412	0.053138	0.0530277	0.0502025	0.0512246	0.0513915	0.047619	0.00631096	0	0.0357588	0.0569693	0.05565	0.0474484	0.0515714	0.0520744	0.0475307	0.0508509	0.0499712	0.0530385	0.0478136	0.05	0.0534759	0.0474301	0.052968	0.0497524	0.0492494	0.0526118	0.0495885	0.0546697	0.0563542	0.0466978	0.042708	0.0506386	0.0502228
sample32056	0.0500208	0.0524079	0.0550459	0.0729624	0.0523763	0.0517739	0.0756193	0.052831	0.0579741	0.056902	0.0508021	0.0485276	0.0479983	0.0589922	0.0453799	0.0595869	0.0563534	0.043515	0.0392857	0.0483741	0.0523135	0.0415343	0.0496922	0.0522388	0.0515971	0.0533191	0.0520437	0.0549835	0.0510797	0.0507343	0.0384452	0.0562191	0.056029	0.0544371	0.0543205	0.0515113	0.0551934	0.0542068	0.052667	0.057548	0.0563584	0.053159	0.0476689	0.0380658	0.0357588	0	0.0566836	0.0584122	0.0562216	0.0577705	0.0553513	0.0492531	0.0567847	0.0536676	0.0526555	0.0508893	0.0544439	0.0514298	0.0525354	0.052603	0.0529285	0.0506912	0.0615602	0.0483467	0.0514589	0.0477528	0.0499354	0.0537975	0.0522145	0.0546275
sample32066	0.0522256	0.0495419	0.0483298	0.0759884	0.0580888	0.0499878	0.0819462	0.0522547	0.0523887	0.0556723	0.0481459	0.0479648	0.0484171	0.0523748	0.0554614	0.0578674	0.0551844	0.0515553	0.052795	0.0468387	0.0467729	0.0515301	0.0612875	0.0519595	0.0503078	0.0513717	0.0554945	0.0469513	0.0486763	0.0515834	0.0478707	0.0511297	0.0529979	0.0461554	0.0481134	0.0495484	0.0515115	0.0503275	0.0539277	0.0457831	0.0461056	0.0498104	0.0613036	0.0531732	0.0569693	0.0566836	0	0.0459364	0.0419261	0.045276	0.0480371	0.0436401	0.049962	0.0494945	0.0556995	0.0525088	0.0572216	0.0514139	0.0547568	0.0608538	0.0538126	0.054318	0.0568662	0.0569007	0.0614973	0.0571102	0.0513126	0.0495036	0.0476671	0.0516982
sample32067	0.0470032	0.0446429	0.0492415	0.0723542	0.0562038	0.0458526	0.0838396	0.0490108	0.0507207	0.0563956	0.045847	0.0463895	0.04811	0.0435205	0.053721	0.0594271	0.0547571	0.0538199	0.051828	0.0459482	0.0489418	0.0484827	0.0649018	0.0502277	0.0482004	0.050711	0.055876	0.0474292	0.0473853	0.0472454	0.04994	0.0454336	0.0488224	0.043412	0.0459173	0.0446015	0.0518627	0.0491857	0.0506367	0.0461258	0.0455454	0.0498482	0.0611749	0.0538872	0.05565	0.0584122	0.0459364	0	0.0460461	0.0446042	0.0483711	0.0483573	0.0522332	0.0490299	0.0548604	0.0530802	0.0513256	0.053576	0.0545482	0.0614453	0.0568761	0.0562081	0.0531066	0.0545244	0.059724	0.0572773	0.0523529	0.0491521	0.0461279	0.052782
sample32077	0.0509397	0.0480363	0.0456238	0.0740072	0.0553132	0.0471607	0.0828295	0.0518018	0.0561101	0.0581729	0.0430228	0.0435639	0.0476443	0.0497646	0.0530433	0.0626891	0.0567661	0.0532281	0.0531697	0.0454928	0.04588	0.0470836	0.0609442	0.048322	0.0431381	0.05	0.0518125	0.0438226	0.0406521	0.0507501	0.0512436	0.0466268	0.0529288	0.0447594	0.0452271	0.0467552	0.0495192	0.0458795	0.0512546	0.0426878	0.0476773	0.0444835	0.0606601	0.0488711	0.0474484	0.0562216	0.0419261	0.0460461	0	0.0417884	0.0449694	0.0424877	0.054732	0.0448585	0.0525129	0.0469356	0.05	0.0506984	0.0557565	0.0558952	0.0553633	0.0469641	0.0535777	0.0530035	0.0552161	0.0616207	0.0493041	0.0474161	0.0474972	0.0545951
sample32078	0.0512725	0.0477355	0.0484742	0.078456	0.0582313	0.0487629	0.0864799	0.0523881	0.0551202	0.0583402	0.0457248	0.04609	0.0463836	0.0444775	0.0565671	0.064433	0.0550944	0.0532276	0.0523089	0.0433243	0.0463	0.0489318	0.0622881	0.0506866	0.0443184	0.0493052	0.0534934	0.0461262	0.0451183	0.0495065	0.052074	0.0486939	0.0518606	0.044683	0.0472283	0.0461929	0.0507868	0.0485058	0.0487805	0.0445911	0.0480706	0.0470297	0.061674	0.050327	0.0515714	0.0577705	0.045276	0.0446042	0.0417884	0	0.045195	0.0414619	0.0532787	0.046439	0.0520701	0.0504428	0.0489629	0.0486906	0.0507637	0.06358	0.0564378	0.0545087	0.0565383	0.057783	0.0600088	0.055464	0.0445057	0.045974	0.0489534	0.0545727
sample32090	0.051979	0.0500744	0.050095	0.0755331	0.0569268	0.0514724	0.084375	0.0509273	0.0505911	0.0541841	0.045957	0.0466129	0.0482294	0.0467541	0.0575416	0.0629025	0.0570855	0.0506166	0.0511637	0.0496023	0.0480163	0.0486514	0.0590191	0.0502646	0.0477398	0.0503686	0.0538518	0.044738	0.0489189	0.0480217	0.0494668	0.0471174	0.0520085	0.0444376	0.0472211	0.0453254	0.04935	0.0453561	0.0500305	0.0447294	0.0476456	0.0449214	0.0620053	0.0517634	0.0520744	0.0553513	0.0480371	0.0483711	0.0449694	0.045195	0	0.0451267	0.0506141	0.0471303	0.0521136	0.0459815	0.0503049	0.0546632	0.0492275	0.0566206	0.0523104	0.0538147	0.0508563	0.0557098	0.0598935	0.0561423	0.0504872	0.0500666	0.0510204	0.0502276
sample32091	0.045283	0.0438122	0.0443068	0.0726786	0.0537485	0.0458323	0.0728916	0.0490618	0.0523915	0.0491294	0.0447589	0.0428094	0.044899	0.0442584	0.0514724	0.0546507	0.0534518	0.050235	0.0471246	0.0412041	0.0410495	0.0437262	0.0564103	0.0482523	0.0422961	0.0451907	0.0479853	0.0463862	0.045982	0.0500321	0.0484975	0.0463929	0.05	0.0430908	0.0447061	0.047675	0.0505492	0.0468301	0.0494221	0.0455208	0.0475977	0.04963	0.0507535	0.0486929	0.0475307	0.0492531	0.0436401	0.0483573	0.0424877	0.0414619	0.0451267	0	0.0523343	0.047117	0.0511009	0.0475543	0.052027	0.0492995	0.0525114	0.0544143	0.0455934	0.0467797	0.0580091	0.0488959	0.0546978	0.0538674	0.0446455	0.0455517	0.042841	0.0525334
sample35202	0.052498	0.0538345	0.0490421	0.0703371	0.0526066	0.0477646	0.0729295	0.0461352	0.0526	0.0506143	0.0528103	0.0505596	0.0521364	0.0531401	0.054648	0.0550889	0.0509788	0.0510331	0.0495972	0.0483512	0.0497541	0.0467105	0.0578947	0.0539841	0.0568606	0.0504236	0.0536509	0.0503072	0.052881	0.0446029	0.0436	0.0487897	0.0514851	0.0470166	0.0533981	0.0553804	0.0439202	0.0430189	0.04551	0.055175	0.0510471	0.0417299	0.0559006	0.0514019	0.0508509	0.0567847	0.049962	0.0522332	0.054732	0.0532787	0.0506141	0.0523343	0	0.0446793	0.0488314	0.0465549	0.0489646	0.0512214	0.053187	0.0493171	0.04775	0.0485352	0.0544381	0.0489332	0.0516032	0.0581807	0.0490474	0.0496316	0.0528316	0.0493802
sample35204	0.0514781	0.0478548	0.0508556	0.0758234	0.0562624	0.0488195	0.0799756	0.0467218	0.0582335	0.0603015	0.0496454	0.047888	0.0503238	0.0468646	0.0529486	0.0546237	0.0527231	0.0530392	0.0512085	0.0464457	0.0453379	0.0489399	0.0648536	0.0539948	0.0475252	0.0500276	0.0530778	0.0470808	0.0477202	0.0425101	0.0430316	0.0487059	0.0532886	0.0480484	0.0497771	0.0505662	0.0400777	0.0374372	0.0442904	0.0464527	0.0495557	0.0394539	0.0531168	0.0490762	0.0499712	0.0536676	0.0494945	0.0490299	0.0448585	0.046439	0.0471303	0.047117	0.0446793	0	0.0499674	0.0486465	0.0472441	0.0536475	0.0514797	0.0581551	0.0562743	0.0521011	0.0520907	0.0530183	0.0615797	0.0641376	0.0465426	0.0463904	0.0477824	0.0578115
sample35219	0.0539953	0.0533527	0.0518852	0.0803419	0.0506224	0.0498816	0.0871795	0.0459166	0.0507682	0.0517316	0.0522682	0.0509182	0.0509743	0.0533981	0.0546014	0.057053	0.0510974	0.0515101	0.0469891	0.0519417	0.0528389	0.0469002	0.0559862	0.0501051	0.0525797	0.0485648	0.0488838	0.0492374	0.0529548	0.0460599	0.0489072	0.0513371	0.0509642	0.0528376	0.0566099	0.0502321	0.0451445	0.0485751	0.0459184	0.0534364	0.0517928	0.0415815	0.048988	0.0488836	0.0530385	0.0526555	0.0556995	0.0548604	0.0525129	0.0520701	0.0521136	0.0511009	0.0488314	0.0499674	0	0.0389482	0.0422868	0.0470183	0.0529035	0.0537757	0.0517621	0.050885	0.0473274	0.0475301	0.0547945	0.0614849	0.0437747	0.0483649	0.0516623	0.0508681
sample35221	0.0518063	0.0503459	0.0522825	0.068394	0.0467902	0.0462053	0.0761719	0.0470207	0.0497301	0.0476744	0.0494874	0.0506757	0.0461477	0.046659	0.0559148	0.0499276	0.0498031	0.0515021	0.0466567	0.0467791	0.0499803	0.0478555	0.0573333	0.0477377	0.0487994	0.0492514	0.0491803	0.0509492	0.0492817	0.0450043	0.0451745	0.0447585	0.0460765	0.0502901	0.055255	0.0525496	0.0455975	0.0491124	0.0387789	0.0513419	0.0484504	0.0398374	0.0483479	0.0469903	0.0478136	0.0508893	0.0525088	0.0530802	0.0469356	0.0504428	0.0459815	0.0475543	0.0465549	0.0486465	0.0389482	0	0.0403458	0.0515842	0.0510417	0.0450385	0.0410959	0.0426055	0.0449438	0.0427313	0.0457116	0.0522341	0.0450062	0.0471236	0.0498062	0.051565
sample35235	0.0521845	0.0517707	0.0540588	0.0710324	0.0462202	0.04851	0.0757196	0.0477477	0.0502979	0.0519031	0.049948	0.04795	0.0490336	0.050323	0.0515395	0.055094	0.0525668	0.0508951	0.0467877	0.0489534	0.0513855	0.0478314	0.0564236	0.0533873	0.0489789	0.0499825	0.0488195	0.0492568	0.0472455	0.0478703	0.0493736	0.0499826	0.0478339	0.0512733	0.0526137	0.0485704	0.0394338	0.0422656	0.0455052	0.0524319	0.0482517	0.0397409	0.053539	0.0497889	0.05	0.0544439	0.0572216	0.0513256	0.05	0.0489629	0.0503049	0.052027	0.0489646	0.0472441	0.0422868	0.0403458	0	0.0479592	0.0462653	0.0530407	0.0527021	0.0493781	0.0280306	0.0470514	0.0542582	0.0541842	0.0497392	0.0467072	0.0537133	0.05081
sample35236	0.0530986	0.0533316	0.0502725	0.0698904	0.0502542	0.0474534	0.0788146	0.045725	0.0492183	0.0466999	0.0489201	0.0461809	0.0450504	0.0504311	0.0478539	0.048203	0.0447322	0.0473214	0.0479307	0.0498438	0.0489446	0.0518559	0.0649123	0.051927	0.0494447	0.0440547	0.0485116	0.0492624	0.0480847	0.0510274	0.053243	0.0449635	0.0475835	0.0497015	0.0487994	0.0490909	0.051626	0.0563646	0.0533726	0.0545244	0.0529603	0.0510146	0.0568336	0.0518266	0.0534759	0.0514298	0.0514139	0.053576	0.0506984	0.0486906	0.0546632	0.0492995	0.0512214	0.0536475	0.0470183	0.0515842	0.0479592	0	0.0462454	0.0591133	0.0531961	0.0546902	0.0554397	0.0561082	0.0636121	0.0575946	0.0481505	0.0474344	0.0531453	0.0482578
sample35237	0.0563135	0.0559451	0.0509534	0.0706478	0.0478047	0.0480495	0.0807645	0.0461847	0.0469658	0.0486859	0.0472744	0.0471163	0.044343	0.0488584	0.0488983	0.0501964	0.0427515	0.0496084	0.0484671	0.0517819	0.048437	0.0479968	0.0588492	0.0518946	0.0541372	0.0438317	0.0492248	0.0494881	0.0471082	0.0490268	0.0482795	0.0446963	0.0445512	0.0443192	0.0465293	0.047619	0.0488896	0.0545341	0.0512959	0.0537716	0.0525086	0.0497076	0.0550887	0.0458537	0.0474301	0.0525354	0.0547568	0.0545482	0.0557565	0.0507637	0.0492275	0.0525114	0.053187	0.0514797	0.0529035	0.0510417	0.0462653	0.0462454	0	0.0546474	0.0490376	0.050163	0.0538348	0.0495851	0.0576199	0.0630447	0.0479137	0.0495812	0.0534327	0.0437773
sample35245	0.057904	0.0577337	0.0573516	0.0817547	0.0524425	0.0572893	0.0734767	0.0534831	0.0553833	0.051183	0.0600628	0.0576659	0.0574032	0.0575492	0.047891	0.0513834	0.0554798	0.0513562	0.0516775	0.0555313	0.05373	0.0538194	0.0495868	0.0602241	0.0565541	0.057938	0.0517161	0.05625	0.0543188	0.0529865	0.0500459	0.057489	0.056145	0.058887	0.0635237	0.0576577	0.059851	0.0629244	0.0497132	0.058653	0.0552065	0.0538752	0.0486076	0.051663	0.052968	0.052603	0.0608538	0.0614453	0.0558952	0.06358	0.0566206	0.0544143	0.0493171	0.0581551	0.0537757	0.0450385	0.0530407	0.0591133	0.0546474	0	0.0348282	0.00610717	0.0594013	0.00554415	0.00438404	0.0561056	0.0564776	0.0497049	0.061867	0.0540109
sample35246	0.0522948	0.0510517	0.0547429	0.0761589	0.05031	0.051792	0.0739183	0.0460931	0.0508917	0.05041	0.0520694	0.0515002	0.0509322	0.0515327	0.0518503	0.0497172	0.0509115	0.0468278	0.0480398	0.0537797	0.0514965	0.0481481	0.0502742	0.0524099	0.0505204	0.0472355	0.0493716	0.050152	0.0527704	0.0521429	0.0480596	0.0518078	0.053681	0.0528951	0.0518726	0.0534468	0.0572316	0.0546106	0.0488847	0.0514412	0.050156	0.0578075	0.0525407	0.0476293	0.0497524	0.0529285	0.0538126	0.0568761	0.0553633	0.0564378	0.0523104	0.0455934	0.04775	0.0562743	0.0517621	0.0410959	0.0527021	0.0531961	0.0490376	0.0348282	0	0.0371651	0.0510765	0.0326622	0.0372493	0.0494644	0.0492599	0.0497972	0.050065	0.0504787
sample35248	0.0524746	0.0521151	0.048488	0.0760085	0.04817	0.0495825	0.0790441	0.0499099	0.0512422	0.0494387	0.0576791	0.054321	0.0514464	0.0512069	0.0461564	0.0511566	0.0512957	0.0469239	0.0497199	0.0497436	0.0499316	0.0481575	0.0576408	0.0515196	0.0506502	0.0522751	0.0476005	0.0526045	0.0491635	0.0502158	0.0473978	0.0526408	0.0543672	0.0535654	0.0544674	0.0503101	0.0545676	0.0537786	0.0503459	0.0531004	0.0523072	0.0496337	0.0521599	0.048107	0.0492494	0.0506912	0.054318	0.0562081	0.0469641	0.0545087	0.0538147	0.0467797	0.0485352	0.0521011	0.050885	0.0426055	0.0493781	0.0546902	0.050163	0.00610717	0.0371651	0	0.0542516	0.00589707	0.00653983	0.0536145	0.0518086	0.0482583	0.0538963	0.0495121
sample35251	0.0582472	0.0589986	0.0577404	0.0770906	0.0510964	0.0518107	0.090216	0.0519647	0.0502324	0.0527827	0.054494	0.0515687	0.0514191	0.057746	0.0572454	0.0562613	0.0531306	0.0508563	0.0580614	0.0550105	0.0577201	0.0569328	0.0646552	0.0626168	0.058012	0.0550787	0.0537721	0.0534015	0.0563937	0.0485341	0.0550338	0.0546652	0.0543438	0.0531427	0.0553819	0.0533004	0.0459889	0.0507965	0.0448422	0.0533333	0.0523027	0.048498	0.0615602	0.0517302	0.0526118	0.0615602	0.0568662	0.0531066	0.0535777	0.0565383	0.0508563	0.0580091	0.0544381	0.0520907	0.0473274	0.0449438	0.0280306	0.0554397	0.0538348	0.0594013	0.0510765	0.0542516	0	0.0517677	0.0607176	0.0657975	0.0549387	0.0491071	0.0555752	0.0530892
sample35254	0.0549121	0.0539851	0.0514113	0.079291	0.0496406	0.0526104	0.0740514	0.0497182	0.0508475	0.0485547	0.0599839	0.056874	0.0537923	0.051731	0.0471884	0.0508912	0.0498163	0.0451651	0.0471746	0.0502355	0.0501799	0.0491991	0.0517086	0.053137	0.0533175	0.051417	0.0470413	0.0520916	0.0520416	0.0489939	0.0464047	0.0563126	0.0543086	0.0529918	0.0558859	0.0516832	0.0558036	0.0558489	0.0469957	0.0564484	0.0517381	0.051542	0.0497076	0.0480807	0.0495885	0.0483467	0.0569007	0.0545244	0.0530035	0.057783	0.0557098	0.0488959	0.0489332	0.0530183	0.0475301	0.0427313	0.0470514	0.0561082	0.0495851	0.00554415	0.0326622	0.00589707	0.0517677	0	0.00634986	0.0538605	0.0509729	0.0481557	0.0548902	0.0483408
sample35255	0.0565621	0.0560139	0.0546144	0.0794416	0.0546988	0.0575811	0.0744934	0.0555306	0.0571049	0.0523342	0.0610517	0.0615942	0.0540293	0.054126	0.0498025	0.0553589	0.054451	0.0533275	0.0515659	0.0519281	0.0540184	0.0517751	0.0543088	0.0583294	0.0606528	0.0584416	0.0514127	0.0588235	0.0560212	0.0539007	0.049931	0.0588498	0.0571684	0.0575163	0.062167	0.0562914	0.0604894	0.0632287	0.0518135	0.0585106	0.0559062	0.0528302	0.0535533	0.0537539	0.0546697	0.0514589	0.0614973	0.059724	0.0552161	0.0600088	0.0598935	0.0546978	0.0516032	0.0615797	0.0547945	0.0457116	0.0542582	0.0636121	0.0576199	0.00438404	0.0372493	0.00653983	0.0607176	0.00634986	0	0.0558094	0.0547445	0.051404	0.0576408	0.0549107
sample35257	0.05764	0.0560368	0.0521288	0.0728456	0.0578106	0.0543298	0.0743056	0.0573678	0.0579096	0.0529595	0.0552181	0.0541968	0.0554299	0.0584344	0.0597098	0.059371	0.0581128	0.0487122	0.0502283	0.0516232	0.0580157	0.0489449	0.0533654	0.0552707	0.0510148	0.0563218	0.0535177	0.0582307	0.0533927	0.0623163	0.0566092	0.0576075	0.0591063	0.0504637	0.0574491	0.0587248	0.0687067	0.064498	0.0617681	0.0580408	0.0539188	0.0668005	0.0581841	0.0573818	0.0563542	0.0477528	0.0571102	0.0572773	0.0616207	0.055464	0.0561423	0.0538674	0.0581807	0.0641376	0.0614849	0.0522341	0.0541842	0.0575946	0.0630447	0.0561056	0.0494644	0.0536145	0.0657975	0.0538605	0.0558094	0	0.0498311	0.0559517	0.0534165	0.0642523
sample35259	0.0481946	0.0480713	0.0465361	0.0670247	0.0541614	0.0468315	0.0698529	0.0446823	0.0515261	0.0523104	0.047752	0.04694	0.0442209	0.0473251	0.0500773	0.0530853	0.0516831	0.0516032	0.0434211	0.0476396	0.0460823	0.0422482	0.0520034	0.0459425	0.0478274	0.0459451	0.0484504	0.0470693	0.0486673	0.0444245	0.0428035	0.047619	0.0472566	0.047178	0.0502646	0.047137	0.0517458	0.05134	0.0460434	0.0484496	0.0472973	0.0446972	0.052136	0.0468127	0.0466978	0.0499354	0.0513126	0.0523529	0.0493041	0.0445057	0.0504872	0.0446455	0.0490474	0.0465426	0.0437747	0.0450062	0.0497392	0.0481505	0.0479137	0.0564776	0.0492599	0.0518086	0.0549387	0.0509729	0.0547445	0.0498311	0	0.0397351	0.0449688	0.0471429
sample35273	0.0454941	0.0470541	0.0483193	0.0678941	0.0521346	0.0457646	0.069697	0.0460762	0.0476264	0.0506599	0.0437947	0.0416102	0.0473891	0.0490591	0.0499287	0.0565046	0.0516914	0.0495223	0.048495	0.0473278	0.0466363	0.0444283	0.0547138	0.0492749	0.047651	0.0466193	0.0535442	0.0457737	0.0471367	0.0467887	0.0432476	0.0444933	0.0447471	0.0459632	0.048248	0.048494	0.0513897	0.0481862	0.0461965	0.045712	0.0479471	0.0469819	0.0530131	0.0424337	0.042708	0.0537975	0.0495036	0.0491521	0.0474161	0.045974	0.0500666	0.0455517	0.0496316	0.0463904	0.0483649	0.0471236	0.0467072	0.0474344	0.0495812	0.0497049	0.0497972	0.0482583	0.0491071	0.0481557	0.051404	0.0559517	0.0397351	0	0.0392104	0.0493765
sample35274	0.0496094	0.0454651	0.0493705	0.0720604	0.0545165	0.0446542	0.0840237	0.0527473	0.0522663	0.0542045	0.0466878	0.0461211	0.0495277	0.0493023	0.0508146	0.0613126	0.058205	0.0520435	0.049455	0.043186	0.0462646	0.0463287	0.0603664	0.0511035	0.0492667	0.0477816	0.0564457	0.0467843	0.0457615	0.0503247	0.044713	0.0482104	0.0504801	0.0460393	0.0455359	0.0465461	0.0511719	0.0516182	0.0520833	0.0466803	0.0481508	0.0489345	0.0538596	0.0471781	0.0506386	0.0522145	0.0476671	0.0461279	0.0474972	0.0489534	0.0510204	0.042841	0.0528316	0.0477824	0.0516623	0.0498062	0.0537133	0.0531453	0.0534327	0.061867	0.050065	0.0538963	0.0555752	0.0548902	0.0576408	0.0534165	0.0449688	0.0392104	0	0.0513344
sample35284	0.0531743	0.0531618	0.0492958	0.0645226	0.0504866	0.0487302	0.0844391	0.0487395	0.0448759	0.0450337	0.0498912	0.0491751	0.0464845	0.0521218	0.0516616	0.0488946	0.0462605	0.0459283	0.0466274	0.0474773	0.0550887	0.04907	0.0547886	0.0527297	0.0517941	0.0431825	0.0458919	0.0514091	0.0533603	0.0496226	0.05327	0.0501592	0.0506476	0.0469375	0.0527356	0.0485824	0.0477371	0.0528585	0.0497986	0.0553856	0.0546299	0.0457387	0.0553783	0.0483241	0.0502228	0.0546275	0.0516982	0.052782	0.0545951	0.0545727	0.0502276	0.0525334	0.0493802	0.0578115	0.0508681	0.051565	0.05081	0.0482578	0.0437773	0.0540109	0.0504787	0.0495121	0.0530892	0.0483408	0.0549107	0.0642523	0.0471429	0.0493765	0.0513344	0
